time,EXT_TMP,EXT_WIND_DIRECT,EXT_WIND_SPEED,INT_CO2,INT_REL_HD,INT_TMP,MAX_EXT_TMP,MIN_EXT_TMP
2021-07-01 22:20:00+00:00,21.82,90.0,0.16,535.9,66.33,15.36,21.9,21.7
2021-07-01 22:30:00+00:00,21.69,90.0,0.02,525.2,66.32,14.86,21.9,21.6
2021-07-01 22:40:00+00:00,21.75,90.0,0.26,455.3,66.28,14.32,22.1,21.6
2021-07-01 22:50:00+00:00,21.73,90.0,0.09,414.1,66.11,14.09,21.9,21.6
2021-07-01 23:00:00+00:00,20.0,90.0,0.44,477.67,79.08,23.0,21.6,21.2
2021-07-01 23:10:00+00:00,21.2,90.0,0.0,428.8,65.93,14.01,21.4,21.0
2021-07-01 23:20:00+00:00,21.27,90.0,0.03,418.3,66.03,13.93,21.5,21.0
2021-07-01 23:30:00+00:00,21.17,90.0,0.05,424.6,65.96,13.79,21.3,21.0
2021-07-01 23:40:00+00:00,21.01,90.0,0.13,425.0,65.38,13.76,21.1,20.9
2021-07-01 23:50:00+00:00,21.21,90.0,0.15,425.8,65.68,13.68,21.4,20.9
2021-07-02 00:00:00+00:00,20.0,90.0,0.0,526.75,80.17,22.33,21.3,20.9
2021-07-02 00:10:00+00:00,21.15,90.0,0.01,432.1,65.66,13.58,21.3,21.0
2021-07-02 00:20:00+00:00,21.27,90.0,0.26,434.5,65.38,13.62,21.5,21.1
2021-07-02 00:30:00+00:00,21.1,90.0,0.0,440.6,65.74,13.55,21.3,20.9
2021-07-02 00:40:00+00:00,21.19,90.0,0.06,436.8,65.85,13.5,21.4,21.1
2021-07-02 00:50:00+00:00,21.09,90.0,0.0,426.3,65.91,13.51,21.3,20.9
2021-07-02 01:00:00+00:00,19.5,90.0,0.31,566.25,80.0,22.0,21.2,20.6
2021-07-02 01:10:00+00:00,20.6,90.0,0.0,435.2,65.9,13.39,20.8,20.3
2021-07-02 01:20:00+00:00,20.53,90.0,0.0,442.2,65.83,13.36,20.7,20.4
2021-07-02 01:30:00+00:00,20.46,90.0,0.11,444.1,66.04,13.35,20.7,20.1
2021-07-02 01:40:00+00:00,20.44,90.0,0.12,439.8,65.78,13.33,20.7,20.1
2021-07-02 01:50:00+00:00,20.34,90.0,0.0,438.0,65.65,13.26,20.6,20.1
2021-07-02 02:00:00+00:00,19.0,90.0,0.07,603.5,79.58,21.83,20.6,20.1
2021-07-02 02:10:00+00:00,20.36,90.0,0.12,433.2,65.91,13.1,20.6,20.2
2021-07-02 02:20:00+00:00,20.37,90.0,0.1,426.4,65.83,13.12,20.5,20.2
2021-07-02 02:30:00+00:00,20.26,90.0,0.06,411.0,65.74,13.05,20.4,20.0
2021-07-02 02:40:00+00:00,20.44,90.0,0.43,414.9,65.49,13.08,20.6,20.0
2021-07-02 02:50:00+00:00,20.62,90.0,0.38,405.9,65.61,13.06,20.9,20.4
2021-07-02 03:00:00+00:00,18.5,270.0,0.0,577.42,79.25,21.0,21.0,20.3
2021-07-02 03:10:00+00:00,20.46,270.0,0.16,401.5,65.79,13.02,20.6,20.3
2021-07-02 03:20:00+00:00,20.26,270.0,0.12,399.3,65.43,13.1,20.4,20.0
2021-07-02 03:30:00+00:00,20.22,270.0,0.27,401.9,65.45,13.11,20.3,20.1
2021-07-02 03:40:00+00:00,20.39,270.0,0.3,404.8,65.42,13.11,20.6,20.2
2021-07-02 04:00:00+00:00,18.08,270.0,0.0,505.42,79.58,20.75,20.7,20.2
2021-07-02 04:10:00+00:00,20.35,270.0,0.6,385.75,64.83,13.14,20.5,20.2
2021-07-02 04:30:00+00:00,20.34,270.0,0.51,386.29,65.35,13.08,20.7,20.1
2021-07-02 04:40:00+00:00,20.6,270.0,1.31,381.71,64.31,13.2,20.8,20.3
2021-07-02 04:50:00+00:00,20.51,270.0,1.74,381.0,64.06,13.19,20.7,20.4
2021-07-02 05:00:00+00:00,18.08,270.0,0.0,462.83,80.08,20.42,20.7,20.4
2021-07-02 05:10:00+00:00,20.44,270.0,1.7,381.4,63.94,13.22,20.7,20.2
2021-07-02 05:20:00+00:00,20.59,270.0,1.4,384.0,63.93,13.22,20.9,20.4
2021-07-02 05:30:00+00:00,20.56,270.0,1.38,385.3,64.03,13.24,20.7,20.3
2021-07-02 05:40:00+00:00,20.56,270.0,1.53,382.0,63.54,13.36,20.7,20.4
2021-07-02 05:50:00+00:00,20.51,270.0,1.35,381.9,63.54,13.34,20.8,20.3
2021-07-02 06:00:00+00:00,18.75,270.0,1.14,398.25,79.17,21.33,20.6,20.4
2021-07-02 06:10:00+00:00,20.57,270.0,1.48,380.8,63.41,13.39,20.7,20.3
2021-07-02 06:20:00+00:00,20.67,270.0,1.57,377.9,62.9,13.46,20.9,20.4
2021-07-02 06:30:00+00:00,20.75,270.0,1.36,373.9,62.69,13.54,20.9,20.6
2021-07-02 06:40:00+00:00,20.95,270.0,1.27,371.8,61.83,13.7,21.1,20.8
2021-07-02 06:50:00+00:00,21.11,270.0,1.11,367.9,61.74,13.85,21.4,20.9
2021-07-02 07:00:00+00:00,20.42,270.0,2.04,369.25,77.33,22.83,21.6,21.2
2021-07-02 07:10:00+00:00,21.47,270.0,1.19,364.4,61.23,14.09,21.6,21.3
2021-07-02 07:20:00+00:00,21.7,270.0,1.22,362.8,60.9,14.23,21.9,21.4
